Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,4.5V,BatteryHolder_TruPower_BH-331P_3xAA,117.000000,-50.000000,-90.000000,top
C1,10uF,C_1206_3216Metric,140.000000,-54.000000,90.000000,top
C2,10uF,CP_Elec_4x3,134.000000,-68.000000,180.000000,top
C3,22uF/10V,C_1206_3216Metric,153.000000,-53.000000,0.000000,top
C4,0.1uF/50V,C_1206_3216Metric,153.000000,-50.000000,0.000000,top
C5,0.1uF/50V,C_1206_3216Metric,153.000000,-60.000000,90.000000,top
D1,LED,LED_0201_0603Metric,145.000000,-68.000000,180.000000,top
J1,POWER_SWITCH_CONNECTOR,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,134.000000,-52.000000,180.000000,top
J6,I2C_OLED,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,182.475000,-57.750000,90.000000,top
J7,MODE_SWITCH_CONNECTOR,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,145.000000,-62.000000,90.000000,top
J8,BUZZER,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,155.000000,-76.000000,0.000000,top
R1,165,R_1206_3216Metric,141.000000,-68.000000,180.000000,top
R2,10K,R_1206_3216Metric,80.412500,-110.000000,0.000000,top
R3,10K,R_1206_3216Metric,109.587500,-109.910000,0.000000,top
R4,10K,R_1206_3216Metric,139.000000,-110.000000,0.000000,top
R5,10K,R_1206_3216Metric,165.537500,-110.000000,0.000000,top
R6,10K,R_1206_3216Metric,146.600000,-53.537500,90.000000,top
R7,165立,R_1206_3216Metric,174.000000,-109.537500,90.000000,top
R8,165立,R_1206_3216Metric,147.000000,-110.000000,90.000000,top
R9,165立,R_1206_3216Metric,118.000000,-110.000000,90.000000,top
R10,165立,R_1206_3216Metric,89.000000,-110.000000,90.000000,top
R11,10K,R_1206_3216Metric,153.000000,-66.537500,90.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,133.000000,-61.000000,180.000000,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,167.000000,-57.000000,0.000000,top